READ,n1,n2,n3,n4,n5,n6,n7,n8,n9,n10,n11,n12,n13,n14,n15,n16,n17,n18,n19,n20,n21,n22,n23,n24,n25,n26,n27,n28,n29,n30,n31,n32,n33,n34,n35,n36,n37,n38,n39,n40,n41,n42,n43,n44,n45,n46,n47,n48,n49,n50
1006,0.205523,0.200431,0.194792,0.189224,0.183831,0.179318,0.176014,0.174344,0.173976,0.174924,0.177844,0.182324,0.188296,0.195567,0.20388,0.212286,0.220239,0.227744,0.233379,0.23788,0.242103,0.244735,0.246257,0.246948,0.24715,0.247076,0.246785,0.245664,0.244088,0.241684,0.238864,0.236064,0.233106,0.229965,0.226889,0.223988,0.221286,0.2188,0.216275,0.213545,0.210264,0.206932,0.203849,0.200985,0.198349,0.196166,0.194493,0.193276,0.192636,0.192312
1007,0.615918,0.604847,0.6097,0.633466,0.668478,0.708074,0.733027,0.76634,0.780781,0.786106,0.768747,0.767632,0.781691,0.790545,0.817301,0.812744,0.830269,0.832881,0.841121,0.830121,0.824862,0.825143,0.84972,0.86967,0.873423,0.856187,0.849885,0.840197,0.833792,0.837295,0.830288,0.829034,0.809453,0.761225,0.708372,0.668083,0.61318,0.573628,0.562832,0.560978,0.531881,0.522026,0.52508,0.540379,0.531721,0.505934,0.483273,0.468949,0.450424,0.446176
1008,0.683809,0.724079,0.775264,0.808047,0.810973,0.78946,0.80413,0.773666,0.712427,0.719836,0.740049,0.741965,0.793441,0.821027,0.850714,0.858745,0.858514,0.85815,0.855088,0.827698,0.802071,0.804165,0.849403,0.891604,0.896821,0.885623,0.869857,0.860069,0.856087,0.846449,0.831385,0.801024,0.795664,0.813831,0.805152,0.786865,0.733844,0.697024,0.636681,0.61494,0.591833,0.57901,0.576294,0.578386,0.600649,0.637221,0.671853,0.673285,0.655999,0.62214
1101,0.433617,0.438516,0.448911,0.460391,0.437634,0.400718,0.368335,0.356262,0.292028,0.19113,0.130513,0.110714,0.149954,0.161824,0.172685,0.244043,0.290367,0.230155,0.208366,0.36253,0.524297,0.601015,0.622444,0.654235,0.641564,0.573546,0.536767,0.528442,0.420677,0.43354,0.554877,0.612163,0.548071,0.494372,0.597532,0.664563,0.656452,0.666021,0.59277,0.482255,0.357168,0.293348,0.259925,0.26827,0.275655,0.215897,0.149719,0.131227,0.139048,0.14093
1103,0.417764,0.424773,0.432258,0.43373,0.437583,0.45669,0.491718,0.535287,0.585861,0.627662,0.636809,0.612709,0.60449,0.615065,0.619205,0.626002,0.633185,0.640139,0.66607,0.701079,0.763064,0.80359,0.802178,0.785878,0.756693,0.740401,0.748492,0.759858,0.776422,0.785256,0.786737,0.801454,0.822522,0.837807,0.843831,0.841184,0.831726,0.811454,0.786229,0.750621,0.711755,0.680754,0.659085,0.641785,0.639951,0.640572,0.641292,0.629999,0.607687,0.550126
1104,0.570903,0.582941,0.5994,0.61385,0.627484,0.633949,0.614409,0.571861,0.530227,0.527445,0.58835,0.670192,0.701518,0.677651,0.651452,0.649168,0.653293,0.680912,0.721961,0.733999,0.756723,0.787675,0.812707,0.82887,0.836177,0.829609,0.821551,0.801445,0.780214,0.769039,0.765237,0.749163,0.716205,0.690367,0.696556,0.713944,0.723437,0.732129,0.742912,0.760389,0.775248,0.774041,0.764104,0.74064,0.689224,0.612337,0.535117,0.487771,0.465132,0.4681
1106,0.580813,0.580662,0.572983,0.559853,0.553369,0.554135,0.573952,0.578308,0.590306,0.583703,0.608678,0.593302,0.611161,0.635453,0.642028,0.645744,0.673639,0.661246,0.664636,0.732788,0.747222,0.789133,0.824112,0.8278,0.83446,0.829149,0.819375,0.808119,0.797693,0.790899,0.782586,0.769361,0.767115,0.775318,0.781233,0.779499,0.765522,0.750634,0.729362,0.69601,0.662323,0.639312,0.603526,0.593717,0.568802,0.564887,0.56841,0.560554,0.564127,0.546239
1201,0.319719,0.301646,0.307164,0.308069,0.327549,0.330304,0.337707,0.341966,0.345961,0.340939,0.327923,0.31492,0.297496,0.291492,0.307849,0.348762,0.390244,0.424073,0.443029,0.451658,0.453165,0.457877,0.471194,0.508281,0.542529,0.516152,0.471004,0.488917,0.495522,0.471726,0.482413,0.460022,0.439141,0.456265,0.466141,0.486118,0.502128,0.482359,0.468306,0.464963,0.462086,0.473517,0.496279,0.515099,0.523259,0.517832,0.511871,0.506511,0.496412,0.486086
1202,0.593227,0.574372,0.554344,0.534683,0.511438,0.494627,0.480385,0.481409,0.505066,0.514082,0.534422,0.547902,0.55762,0.563449,0.568901,0.599053,0.613935,0.649917,0.705809,0.73567,0.783049,0.826972,0.856434,0.869733,0.879614,0.877661,0.875513,0.865671,0.857014,0.857848,0.857941,0.859114,0.855747,0.848046,0.835541,0.824978,0.824414,0.830136,0.832584,0.821542,0.801249,0.77517,0.740161,0.692345,0.644243,0.60946,0.562979,0.510411,0.485005,0.47937
1300,0.429587,0.400109,0.369806,0.374623,0.373857,0.364538,0.381328,0.41467,0.469441,0.504117,0.557743,0.601947,0.629423,0.64188,0.641802,0.629376,0.631875,0.652074,0.657823,0.664718,0.661234,0.641988,0.659217,0.688016,0.698776,0.69305,0.680724,0.672565,0.672996,0.64421,0.593361,0.550753,0.516292,0.493239,0.471244,0.471434,0.478532,0.474876,0.492082,0.526736,0.571478,0.567774,0.523499,0.501016,0.517412,0.562851,0.59707,0.616072,0.620001,0.619716
