READ,n1,n2,n3,n4,n5,n6,n7,n8,n9,n10,n11,n12,n13,n14,n15,n16,n17,n18,n19,n20,n21,n22,n23,n24,n25,n26,n27,n28,n29,n30,n31,n32,n33,n34,n35,n36,n37,n38,n39,n40,n41,n42,n43,n44,n45,n46,n47,n48,n49,n50
1006,0.280189,0.280799,0.283846,0.293301,0.30574,0.317361,0.324862,0.328817,0.327248,0.325771,0.326506,0.328795,0.33436,0.342189,0.350554,0.357744,0.359157,0.35641,0.35587,0.357863,0.364914,0.376789,0.380281,0.377819,0.380263,0.38951,0.383242,0.373404,0.367119,0.353536,0.334233,0.328242,0.332696,0.332409,0.335138,0.340215,0.341831,0.350858,0.354525,0.346541,0.345948,0.344866,0.346375,0.350674,0.358396,0.365981,0.366511,0.363611,0.361345,0.365016
1007,0.321095,0.321032,0.326912,0.339388,0.358631,0.384564,0.415549,0.448871,0.476699,0.488252,0.489389,0.484906,0.478527,0.484137,0.509015,0.544372,0.579734,0.608579,0.633419,0.659937,0.686484,0.706048,0.721127,0.732508,0.73328,0.727654,0.727888,0.728948,0.721822,0.714453,0.708214,0.697788,0.68696,0.677092,0.66703,0.66172,0.663845,0.672168,0.683844,0.693132,0.700282,0.705467,0.710261,0.710733,0.70936,0.70639,0.699421,0.689415,0.679696,0.666354
1008,0.35036,0.357899,0.365941,0.374273,0.382475,0.391277,0.403075,0.420505,0.442955,0.468037,0.49298,0.517539,0.541257,0.560833,0.575802,0.594984,0.620948,0.64446,0.655239,0.666362,0.684758,0.697079,0.701009,0.709812,0.717573,0.715855,0.714719,0.714902,0.707894,0.700702,0.694944,0.692702,0.694789,0.695729,0.691724,0.688204,0.684342,0.680738,0.680052,0.679316,0.671263,0.655898,0.639016,0.621012,0.607951,0.602736,0.596962,0.579489,0.55206,0.529137
1101,0.401303,0.417469,0.435891,0.452868,0.467305,0.481483,0.493939,0.504337,0.512261,0.517906,0.522307,0.526311,0.531846,0.539303,0.556644,0.585059,0.606987,0.626441,0.658507,0.686581,0.690806,0.686011,0.689894,0.709237,0.728174,0.726405,0.718753,0.711798,0.706348,0.707712,0.712427,0.719181,0.726483,0.733139,0.734963,0.737257,0.74095,0.739715,0.739459,0.740632,0.73635,0.727366,0.724161,0.727537,0.725435,0.722749,0.718734,0.710476,0.703758,0.689258
1103,0.407596,0.408272,0.410005,0.413948,0.420317,0.429056,0.439803,0.452502,0.466074,0.479852,0.494666,0.509678,0.521442,0.530687,0.541746,0.555987,0.569295,0.579313,0.588529,0.595898,0.602965,0.617157,0.642257,0.670757,0.67975,0.668212,0.651305,0.635526,0.616271,0.591301,0.565864,0.546025,0.533071,0.523391,0.514919,0.513747,0.517048,0.516884,0.490962,0.450422,0.414486,0.402527,0.402695,0.405344,0.415579,0.435685,0.459587,0.481895,0.497052,0.507581
1104,0.366916,0.381251,0.39778,0.414308,0.42601,0.432909,0.439181,0.448976,0.459547,0.46851,0.479789,0.502217,0.535761,0.570036,0.592838,0.61572,0.63919,0.656034,0.670405,0.68505,0.69423,0.701294,0.711442,0.720733,0.727197,0.729569,0.721989,0.71098,0.700947,0.696707,0.704846,0.717672,0.731619,0.748259,0.754009,0.742626,0.723716,0.706617,0.698334,0.696963,0.696362,0.691348,0.681092,0.663647,0.644529,0.630308,0.612458,0.587124,0.55441,0.523489
1106,0.439125,0.449977,0.460413,0.470552,0.480235,0.488859,0.493723,0.494424,0.493976,0.496067,0.502313,0.514535,0.530892,0.551315,0.57542,0.601445,0.626116,0.646309,0.664262,0.683181,0.703535,0.719652,0.728735,0.733809,0.738597,0.740491,0.738763,0.740268,0.746788,0.753265,0.758916,0.767275,0.771973,0.770666,0.768526,0.768975,0.771912,0.777339,0.784698,0.793169,0.800644,0.804253,0.802121,0.799722,0.797558,0.7946,0.792762,0.787693,0.769981,0.749699
1201,0.40368,0.42458,0.444,0.462273,0.478807,0.491233,0.498849,0.505208,0.510684,0.513534,0.520203,0.536378,0.553945,0.568464,0.590096,0.618794,0.644447,0.666101,0.690113,0.708428,0.722146,0.738576,0.75563,0.767859,0.77252,0.76925,0.756797,0.737519,0.71969,0.716787,0.7308,0.749402,0.760507,0.766943,0.770543,0.772269,0.76572,0.755248,0.747302,0.732887,0.724678,0.719189,0.704338,0.689426,0.678855,0.669092,0.662377,0.650505,0.637414,0.631843
1202,0.536221,0.548666,0.5531,0.556351,0.563163,0.574068,0.584988,0.597603,0.612578,0.626685,0.635588,0.644137,0.658867,0.676676,0.687221,0.689399,0.687211,0.688183,0.689896,0.687524,0.688228,0.696568,0.708015,0.720351,0.726342,0.725295,0.724651,0.721855,0.708285,0.690265,0.676485,0.673543,0.676511,0.678976,0.672268,0.661515,0.65432,0.649117,0.645197,0.643964,0.6373,0.625731,0.615806,0.60511,0.589204,0.57188,0.557658,0.544833,0.530649,0.513616
1300,0.494597,0.496148,0.49577,0.496823,0.501385,0.506827,0.511478,0.519472,0.529474,0.531013,0.526086,0.526,0.535631,0.553183,0.568924,0.58156,0.597221,0.610257,0.616549,0.619995,0.634372,0.651193,0.660885,0.666867,0.670011,0.669889,0.66833,0.667911,0.66317,0.65447,0.649112,0.648544,0.650323,0.651824,0.652195,0.651797,0.654113,0.655749,0.653184,0.64726,0.640759,0.631047,0.617821,0.604668,0.595208,0.59004,0.58409,0.576803,0.564847,0.545456
