READ,n1,n2,n3,n4,n5,n6,n7,n8,n9,n10,n11,n12,n13,n14,n15,n16,n17,n18,n19,n20,n21,n22,n23,n24,n25,n26,n27,n28,n29,n30,n31,n32,n33,n34,n35,n36,n37,n38,n39,n40,n41,n42,n43,n44,n45,n46,n47,n48,n49,n50
1006,0.437867,0.438921,0.442374,0.445772,0.44875,0.449866,0.449301,0.44777,0.444963,0.441604,0.440642,0.442552,0.446595,0.450913,0.452337,0.450806,0.448234,0.448749,0.452538,0.455637,0.453952,0.448548,0.442837,0.439808,0.439454,0.441352,0.444356,0.447518,0.452928,0.460145,0.468554,0.475594,0.480914,0.484335,0.485047,0.484297,0.483534,0.482828,0.482881,0.48411,0.486628,0.490492,0.495366,0.499063,0.497692,0.488938,0.480555,0.478595,0.482181,0.484839
1007,0.332712,0.340423,0.350161,0.361289,0.372806,0.384184,0.394714,0.403804,0.411202,0.416645,0.420131,0.422523,0.424372,0.425664,0.424928,0.41903,0.404328,0.380896,0.349545,0.313578,0.277615,0.245021,0.218892,0.200777,0.192434,0.195207,0.209603,0.23302,0.257731,0.277924,0.296114,0.314375,0.331729,0.346986,0.36173,0.376599,0.390933,0.40277,0.410444,0.416712,0.423925,0.432141,0.43936,0.445654,0.452593,0.460549,0.468118,0.474286,0.479734,0.485274
1008,0.483198,0.479521,0.475617,0.471002,0.465571,0.461309,0.458923,0.457223,0.452805,0.444867,0.43753,0.4292,0.421286,0.413514,0.404741,0.396282,0.389744,0.382514,0.371756,0.361173,0.353474,0.347983,0.344402,0.343424,0.343983,0.347412,0.353825,0.360972,0.368155,0.375181,0.384112,0.395541,0.406332,0.415708,0.424387,0.432366,0.440008,0.443657,0.442478,0.439095,0.438593,0.44256,0.450146,0.461983,0.476103,0.486786,0.493267,0.496175,0.494812,0.496308
1101,0.412398,0.4199,0.428328,0.435728,0.440394,0.444074,0.447487,0.448995,0.448202,0.44797,0.448915,0.446714,0.438859,0.433676,0.43259,0.430237,0.424921,0.421977,0.420571,0.41571,0.405022,0.39407,0.385683,0.381214,0.381352,0.387229,0.398403,0.411484,0.422502,0.430175,0.435782,0.440814,0.444622,0.446013,0.444879,0.442215,0.439089,0.435071,0.431491,0.431719,0.438264,0.451816,0.46832,0.480952,0.484556,0.478225,0.465963,0.455896,0.455517,0.463162
1103,0.69325,0.688219,0.674724,0.66047,0.647375,0.639406,0.634371,0.629352,0.626627,0.617542,0.615399,0.624583,0.634776,0.63131,0.623802,0.615666,0.607238,0.595412,0.585057,0.583615,0.586655,0.582294,0.563921,0.548632,0.542435,0.545382,0.554714,0.560407,0.565354,0.570745,0.573659,0.576128,0.57346,0.570135,0.572912,0.583514,0.594303,0.59908,0.604914,0.601735,0.596925,0.593227,0.586534,0.585803,0.589894,0.595749,0.598413,0.600815,0.61187,0.625322
1104,0.46894,0.475753,0.48427,0.493028,0.501037,0.50736,0.511567,0.514303,0.516085,0.516639,0.514971,0.508436,0.494988,0.477812,0.459129,0.441573,0.425776,0.410667,0.392816,0.371688,0.351078,0.334054,0.322924,0.317464,0.315591,0.318873,0.329231,0.345822,0.36439,0.382259,0.402647,0.426662,0.451492,0.471719,0.489706,0.509536,0.530356,0.545468,0.547349,0.546672,0.548238,0.55068,0.548897,0.538985,0.529898,0.52386,0.519642,0.512313,0.499707,0.490331
1106,0.511145,0.513157,0.515864,0.517644,0.51685,0.514963,0.512922,0.510147,0.508117,0.506918,0.507122,0.507304,0.506328,0.504322,0.501537,0.499005,0.494732,0.485796,0.474452,0.461546,0.447428,0.434083,0.423495,0.416272,0.412215,0.411231,0.412786,0.414863,0.416298,0.419446,0.425702,0.43535,0.447737,0.463391,0.48272,0.503844,0.522738,0.537979,0.550447,0.559699,0.564987,0.563832,0.55726,0.546458,0.536115,0.526119,0.515437,0.504362,0.494373,0.483432
1201,0.417959,0.416222,0.415688,0.418849,0.42689,0.436436,0.445291,0.452747,0.459659,0.467303,0.474,0.478477,0.483001,0.487343,0.490665,0.492913,0.495241,0.49528,0.489413,0.477494,0.461768,0.444522,0.429505,0.419341,0.416189,0.420338,0.428176,0.436703,0.445267,0.452562,0.457629,0.459195,0.458148,0.456645,0.456113,0.456235,0.456762,0.45752,0.457885,0.457231,0.456415,0.457805,0.462773,0.472603,0.48871,0.510448,0.533789,0.555769,0.575703,0.590752
1202,0.455626,0.455497,0.456667,0.458785,0.461539,0.464617,0.467259,0.469161,0.470339,0.470987,0.471673,0.472998,0.474855,0.475905,0.475442,0.473212,0.468653,0.461407,0.452169,0.442335,0.432202,0.421925,0.413271,0.408335,0.408025,0.411079,0.41447,0.418362,0.425359,0.435874,0.448219,0.458678,0.465622,0.473728,0.484017,0.493727,0.500019,0.504223,0.509661,0.515692,0.518265,0.514414,0.507633,0.501462,0.496031,0.490317,0.483536,0.476806,0.47128,0.466418
1300,0.531329,0.5266,0.517742,0.507206,0.497114,0.48798,0.479759,0.472974,0.465553,0.457481,0.449026,0.439064,0.425284,0.407003,0.388575,0.372877,0.360404,0.348783,0.336496,0.325523,0.316811,0.310634,0.306714,0.304579,0.303795,0.304579,0.307786,0.314726,0.326176,0.340806,0.355965,0.371945,0.389419,0.407272,0.422247,0.434937,0.447603,0.461853,0.47664,0.490165,0.502551,0.514104,0.524965,0.534546,0.540652,0.546044,0.552804,0.560449,0.566653,0.568855
2000,0.52321,0.530075,0.537003,0.543883,0.549314,0.552343,0.551692,0.545535,0.533179,0.519083,0.504347,0.488589,0.471606,0.452528,0.432332,0.411988,0.392723,0.374818,0.359401,0.347727,0.340226,0.331737,0.32155,0.315336,0.314506,0.31633,0.325341,0.344699,0.368676,0.39275,0.418616,0.44776,0.474878,0.493281,0.503689,0.510773,0.515836,0.519404,0.518895,0.516123,0.512712,0.509825,0.506398,0.497356,0.483017,0.468232,0.454723,0.440492,0.420962,0.403525
2009,0.423708,0.422864,0.42213,0.422952,0.425557,0.429484,0.433936,0.438046,0.441654,0.444226,0.446046,0.446595,0.444476,0.439998,0.432753,0.423836,0.41351,0.401965,0.388066,0.372076,0.357608,0.345657,0.333716,0.322568,0.317295,0.319572,0.327723,0.340257,0.356632,0.376436,0.397477,0.418709,0.440137,0.461614,0.480847,0.495754,0.506868,0.51569,0.522644,0.525269,0.52255,0.516139,0.508989,0.500307,0.489023,0.477722,0.468857,0.461792,0.454382,0.449514
2010,0.358569,0.350136,0.343676,0.341767,0.345639,0.354166,0.366067,0.38019,0.394323,0.408092,0.418896,0.423723,0.424549,0.424578,0.42533,0.426975,0.427968,0.425812,0.419603,0.411601,0.396047,0.372683,0.353671,0.341409,0.335551,0.336254,0.34528,0.361109,0.38151,0.403219,0.418934,0.430135,0.442347,0.455703,0.467223,0.473833,0.477602,0.482047,0.485009,0.480407,0.471043,0.463525,0.459392,0.45772,0.458089,0.461666,0.468009,0.475859,0.481181,0.480043
2047,0.449412,0.448476,0.449993,0.45294,0.456302,0.459856,0.464373,0.470445,0.476925,0.48226,0.484972,0.48488,0.483181,0.481092,0.478589,0.475278,0.471089,0.466085,0.461166,0.456497,0.451583,0.445276,0.438408,0.432958,0.43064,0.432422,0.437838,0.446592,0.458322,0.472938,0.490458,0.508338,0.520858,0.526744,0.530176,0.532016,0.529573,0.525319,0.523767,0.525305,0.527586,0.529288,0.53275,0.537866,0.542059,0.539568,0.535547,0.534515,0.53656,0.53917
2087,0.569128,0.576072,0.580356,0.578888,0.570598,0.557546,0.544256,0.533186,0.524637,0.517963,0.511274,0.503295,0.494158,0.48377,0.471586,0.458266,0.445552,0.435684,0.428372,0.422153,0.416925,0.411387,0.405825,0.402123,0.399924,0.401435,0.404757,0.407865,0.411477,0.414744,0.416739,0.415856,0.415468,0.420653,0.432668,0.448264,0.4635,0.480796,0.500132,0.516912,0.529145,0.539745,0.550541,0.559123,0.563647,0.566595,0.568788,0.568971,0.567347,0.570202
2089,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2100,0.508829,0.522381,0.533515,0.54059,0.541221,0.535664,0.527185,0.518092,0.510521,0.504237,0.497753,0.491172,0.485012,0.477691,0.469272,0.459013,0.446528,0.43453,0.423448,0.410691,0.394977,0.372224,0.351073,0.338203,0.33339,0.333529,0.335954,0.344874,0.358703,0.374066,0.38707,0.401564,0.419173,0.435703,0.442715,0.445158,0.452323,0.463837,0.473054,0.473235,0.474303,0.480176,0.489706,0.496823,0.494427,0.490537,0.488447,0.488332,0.48963,0.49061
2155,0.473866,0.479409,0.486619,0.4945,0.500564,0.502425,0.499027,0.491767,0.483201,0.475503,0.469799,0.465956,0.462377,0.457876,0.450742,0.441629,0.433591,0.430999,0.434127,0.439491,0.443143,0.441369,0.432538,0.423975,0.421196,0.425945,0.437459,0.450783,0.462356,0.472113,0.481433,0.488467,0.493094,0.499446,0.509507,0.522727,0.536411,0.549016,0.560803,0.56888,0.56782,0.560004,0.551855,0.545199,0.539714,0.536162,0.535734,0.538146,0.540764,0.542472
2159,0.522257,0.525277,0.528712,0.532094,0.534933,0.537594,0.540254,0.541828,0.541837,0.540019,0.53729,0.534125,0.530025,0.523912,0.515067,0.502986,0.487597,0.469834,0.45129,0.433718,0.419209,0.408568,0.401557,0.397766,0.39707,0.397772,0.39802,0.397488,0.397171,0.399623,0.406101,0.418614,0.437403,0.458611,0.47636,0.489376,0.50137,0.511441,0.515472,0.515767,0.515999,0.514939,0.514148,0.516213,0.521116,0.528387,0.535975,0.544361,0.553659,0.554416
2192,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2239,0.548015,0.552433,0.550544,0.548929,0.548618,0.547144,0.545535,0.549812,0.560232,0.572277,0.580279,0.580818,0.575904,0.568962,0.561065,0.551084,0.538297,0.523286,0.508246,0.495743,0.484791,0.474152,0.46187,0.450836,0.445492,0.446638,0.450214,0.454838,0.464274,0.477322,0.485762,0.48733,0.489721,0.493814,0.500164,0.509937,0.521149,0.533073,0.542504,0.546377,0.55041,0.555869,0.561166,0.562523,0.564976,0.570257,0.578649,0.587897,0.593662,0.597161
2250,0.512476,0.526607,0.536314,0.544575,0.552871,0.561339,0.568213,0.568667,0.564272,0.559557,0.55617,0.553958,0.550348,0.538786,0.522497,0.504504,0.485382,0.466343,0.447483,0.429523,0.414334,0.401996,0.392402,0.386606,0.38646,0.392941,0.405767,0.419917,0.437123,0.461097,0.488109,0.505107,0.518945,0.53841,0.559254,0.567594,0.569306,0.57297,0.57644,0.569828,0.559047,0.554636,0.555484,0.551259,0.538133,0.524522,0.510467,0.491717,0.468062,0.445598
