READ	n1	n2	n3	n4	n5	n6	n7	n8	n9	n10	n11	n12	n13	n14	n15	n16	n17	n18	n19	n20	n21	n22	n23	n24	n25	n26	n27	n28	n29	n30	n31	n32	n33	n34	n35	n36	n37	n38	n39	n40	n41	n42	n43	n44	n45	n46	n47	n48	n49	n50
1006	0.28846	0.276537	0.26441	0.253692	0.245907	0.244219	0.24668	0.249806	0.252702	0.25777	0.267477	0.282486	0.301425	0.320661	0.336274	0.348732	0.36231	0.377535	0.390842	0.400622	0.40706	0.408864	0.40815	0.405429	0.401459	0.395396	0.389774	0.384023	0.378662	0.373691	0.369165	0.365092	0.360911	0.35748	0.353171	0.348089	0.342457	0.336412	0.331418	0.329402	0.32981	0.332163	0.333119	0.333638	0.333032	0.331307	0.327827	0.323746	0.320896	0.320254
1007	0.515313	0.519002	0.521638	0.523125	0.523871	0.523821	0.52288	0.521039	0.518499	0.515166	0.510608	0.504422	0.496776	0.488494	0.480149	0.471822	0.463338	0.454642	0.445806	0.436818	0.427692	0.418388	0.409153	0.400115	0.391275	0.382658	0.374151	0.365629	0.357039	0.348475	0.340003	0.331933	0.324546	0.317984	0.312329	0.307588	0.303771	0.30085	0.29877	0.297516	0.297139	0.297666	0.299071	0.301391	0.304485	0.307973	0.311575	0.315076	0.318446	0.321999
1008	0.396145	0.396368	0.396309	0.395312	0.394011	0.393209	0.393228	0.39371	0.394659	0.395755	0.396906	0.397836	0.39832	0.398353	0.397354	0.39575	0.393207	0.389398	0.383912	0.376831	0.368669	0.360856	0.353912	0.348413	0.344275	0.341624	0.340624	0.341389	0.344061	0.348538	0.35441	0.361197	0.367837	0.374364	0.381033	0.387724	0.394497	0.400065	0.403497	0.405779	0.407848	0.411389	0.417026	0.423252	0.429097	0.433344	0.436443	0.438729	0.439051	0.43789
1101	0.436023	0.437873	0.438397	0.438416	0.438562	0.43892	0.43935	0.439806	0.440145	0.439817	0.438112	0.434595	0.430096	0.425167	0.420068	0.414849	0.409638	0.404281	0.398609	0.392434	0.385625	0.378384	0.371192	0.364601	0.358818	0.354013	0.350101	0.347073	0.345065	0.344099	0.344305	0.345712	0.348209	0.351676	0.355821	0.360213	0.364046	0.36671	0.368144	0.369284	0.37064	0.372353	0.374304	0.37635	0.378264	0.379888	0.380929	0.381386	0.381486	0.381417
1103	0.619232	0.620276	0.621217	0.622174	0.623108	0.623622	0.623494	0.622709	0.62164	0.620463	0.618948	0.617043	0.614934	0.612712	0.610425	0.607957	0.605051	0.601502	0.597432	0.592717	0.587134	0.580713	0.573906	0.567133	0.560647	0.554514	0.548717	0.54328	0.53812	0.533146	0.528267	0.523517	0.519159	0.515344	0.51216	0.509679	0.507865	0.506663	0.505976	0.505752	0.50588	0.506315	0.507102	0.508313	0.509971	0.512179	0.515126	0.519028	0.524097	0.530444
1104	0.436594	0.435002	0.433755	0.433373	0.433985	0.435346	0.436431	0.43604	0.433623	0.429851	0.42546	0.420483	0.414861	0.408792	0.402467	0.395911	0.38881	0.38074	0.371816	0.362474	0.353451	0.345234	0.338245	0.333035	0.329947	0.329158	0.330403	0.333148	0.336886	0.341249	0.34601	0.350918	0.355905	0.36078	0.365517	0.370021	0.374158	0.377599	0.38009	0.381643	0.382532	0.383279	0.384146	0.385207	0.386633	0.388459	0.390642	0.393113	0.395317	0.396601
1106	0.348794	0.349332	0.350214	0.351055	0.352063	0.353587	0.355049	0.356286	0.357396	0.358417	0.359521	0.360066	0.36063	0.361164	0.361355	0.360815	0.359254	0.357192	0.354902	0.352017	0.348807	0.344902	0.340733	0.336558	0.332235	0.327615	0.322681	0.316962	0.311067	0.304773	0.298042	0.291115	0.284333	0.277738	0.271661	0.266106	0.261352	0.257368	0.254378	0.252256	0.251005	0.250404	0.250056	0.249463	0.248638	0.247575	0.246187	0.244807	0.243795	0.243044
1201	0.505844	0.501846	0.497652	0.493509	0.489251	0.484382	0.479271	0.473792	0.468093	0.462184	0.456636	0.451996	0.447709	0.443582	0.439774	0.436538	0.433777	0.431877	0.430986	0.431638	0.433265	0.435236	0.436946	0.438485	0.44004	0.441331	0.442442	0.443159	0.443837	0.444606	0.445514	0.446372	0.447072	0.447489	0.447178	0.445683	0.443399	0.440428	0.435745	0.429366	0.421485	0.412335	0.402626	0.392933	0.383639	0.375007	0.366676	0.359258	0.353082	0.347841
1202	0.424659	0.423666	0.422607	0.421626	0.42062	0.419561	0.418524	0.417383	0.415857	0.414011	0.411936	0.40962	0.407187	0.404783	0.402506	0.400376	0.398386	0.396425	0.394201	0.391793	0.389286	0.386798	0.384398	0.382058	0.379609	0.376968	0.374166	0.371303	0.368489	0.365791	0.363359	0.361155	0.359276	0.357721	0.35639	0.355321	0.354394	0.353579	0.352579	0.351262	0.349648	0.347939	0.346283	0.344973	0.34416	0.343818	0.343785	0.343728	0.343139	0.34184
1300	0.380645	0.378085	0.375614	0.373363	0.370894	0.368075	0.364936	0.360979	0.35577	0.349631	0.343151	0.336615	0.329761	0.322379	0.314712	0.307677	0.302332	0.299111	0.297884	0.298025	0.298884	0.300157	0.301342	0.302307	0.303347	0.304914	0.306601	0.307682	0.308453	0.309366	0.310181	0.310787	0.31107	0.310805	0.309999	0.308844	0.30727	0.305986	0.305189	0.30542	0.306994	0.309973	0.314376	0.319931	0.326903	0.335408	0.345755	0.357748	0.370831	0.384572
2000	0.475762	0.475975	0.475502	0.474465	0.472538	0.469743	0.466375	0.462549	0.458503	0.454303	0.449786	0.444878	0.439682	0.434227	0.428563	0.422881	0.417359	0.41221	0.407506	0.403304	0.399639	0.396477	0.393741	0.391437	0.389552	0.387905	0.386511	0.385404	0.384606	0.383989	0.383381	0.382694	0.381928	0.380997	0.379846	0.378532	0.376956	0.374998	0.372776	0.370482	0.368321	0.366471	0.365067	0.364148	0.363935	0.364684	0.36644	0.36887	0.371884	0.375524
2009	0.432505	0.437271	0.441794	0.446266	0.450582	0.454888	0.459295	0.463723	0.467998	0.472179	0.476169	0.479945	0.483387	0.48659	0.489423	0.491623	0.492509	0.492102	0.490618	0.488479	0.486184	0.483818	0.481489	0.479243	0.477032	0.474857	0.47266	0.470075	0.46715	0.463944	0.460626	0.457412	0.454467	0.451784	0.449331	0.447239	0.445424	0.443672	0.441932	0.440221	0.438533	0.436789	0.434833	0.432714	0.430408	0.428035	0.425793	0.423727	0.421782	0.419595
2010	0.422044	0.422427	0.422592	0.422367	0.42172	0.420828	0.419872	0.418898	0.418102	0.41759	0.417433	0.41737	0.416904	0.415572	0.413464	0.410667	0.407496	0.404188	0.400871	0.397496	0.393861	0.389909	0.385918	0.382118	0.378811	0.376263	0.374469	0.373381	0.372902	0.372907	0.373083	0.373188	0.37327	0.373427	0.373713	0.374195	0.374866	0.375618	0.376127	0.375921	0.374954	0.373692	0.372681	0.3722	0.372286	0.372844	0.373882	0.375219	0.376597	0.377809
2047	0.341629	0.34393	0.346203	0.348551	0.351062	0.353827	0.356892	0.360314	0.363938	0.367645	0.371545	0.37547	0.3792	0.382865	0.38656	0.390122	0.393443	0.396499	0.399471	0.402366	0.40524	0.408199	0.41149	0.415194	0.419378	0.423909	0.428384	0.432192	0.435165	0.43799	0.440883	0.443988	0.447172	0.45028	0.453181	0.455891	0.458721	0.461393	0.464033	0.466463	0.468577	0.470333	0.472093	0.473963	0.475564	0.47656	0.476303	0.474785	0.472599	0.470161
2087	0.38656	0.387682	0.388344	0.388695	0.388128	0.386988	0.385865	0.385129	0.384774	0.384308	0.383475	0.382313	0.381	0.379858	0.378827	0.378065	0.378004	0.378964	0.380856	0.383174	0.385739	0.388651	0.391868	0.395614	0.399774	0.404222	0.408571	0.41317	0.418363	0.423612	0.428684	0.433435	0.437882	0.442124	0.446205	0.450014	0.453388	0.455854	0.457397	0.458636	0.459886	0.461199	0.462924	0.46507	0.467453	0.470015	0.472877	0.475779	0.478346	0.48032
