READ,n1,n2,n3,n4,n5,n6,n7,n8,n9,n10,n11,n12,n13,n14,n15,n16,n17,n18,n19,n20,n21,n22,n23,n24,n25,n26,n27,n28,n29,n30,n31,n32,n33,n34,n35,n36,n37,n38,n39,n40,n41,n42,n43,n44,n45,n46,n47,n48,n49,n50
1006,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1007,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1008,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1101,0.404879,0.388279,0.367607,0.344179,0.321368,0.305483,0.298508,0.298464,0.303778,0.312493,0.32243,0.332802,0.340849,0.346336,0.347617,0.346315,0.34361,0.338081,0.328234,0.318237,0.308448,0.298529,0.289983,0.283838,0.2816,0.287084,0.299026,0.31528,0.334259,0.354497,0.376885,0.398574,0.415933,0.428651,0.43857,0.440436,0.440964,0.438502,0.435352,0.433291,0.433263,0.434726,0.436502,0.442035,0.432502,0.413861,0.403392,0.400912,0.410666,0.430534
1103,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1104,0.287736,0.312345,0.344857,0.377721,0.399142,0.41379,0.427193,0.442134,0.454527,0.4643,0.472494,0.480444,0.485628,0.482021,0.466374,0.440892,0.408073,0.375125,0.344421,0.315708,0.293647,0.276939,0.262638,0.252732,0.248553,0.25009,0.259566,0.27482,0.291415,0.303616,0.308668,0.310595,0.311759,0.311408,0.307638,0.303162,0.303284,0.313175,0.329854,0.346379,0.353332,0.361223,0.373826,0.389327,0.40226,0.414645,0.428777,0.443785,0.455621,0.469867
1106,0.363185,0.367334,0.377618,0.385589,0.39313,0.406912,0.42694,0.44944,0.471285,0.500549,0.530592,0.548448,0.556866,0.55925,0.555154,0.542658,0.530458,0.512995,0.486055,0.447681,0.395236,0.347534,0.309632,0.280496,0.26966,0.279895,0.292867,0.310359,0.334912,0.34957,0.353573,0.361383,0.35676,0.329746,0.307333,0.295144,0.291035,0.290484,0.290216,0.287389,0.283654,0.280999,0.282746,0.288464,0.292604,0.294059,0.295019,0.301369,0.315896,0.335581
1201,0.367067,0.364693,0.364257,0.366066,0.368612,0.366973,0.360168,0.353073,0.345634,0.338107,0.331606,0.326137,0.318802,0.310051,0.29966,0.290156,0.281102,0.270204,0.260261,0.257332,0.251636,0.239477,0.228312,0.22122,0.219382,0.225392,0.238956,0.257664,0.275299,0.290441,0.303641,0.311706,0.313915,0.313057,0.313327,0.325546,0.341553,0.359363,0.378396,0.395369,0.402766,0.404234,0.404217,0.400068,0.393291,0.3851,0.372002,0.355394,0.344039,0.339907
1202,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1300,0.38863,0.379899,0.37219,0.366715,0.363825,0.363,0.363788,0.364885,0.365001,0.362822,0.357672,0.350156,0.34114,0.331036,0.320867,0.312556,0.306797,0.30391,0.303804,0.305234,0.305447,0.303412,0.30106,0.299071,0.297941,0.29822,0.300326,0.302809,0.304878,0.307229,0.311763,0.319363,0.330212,0.343225,0.357123,0.371007,0.38581,0.401922,0.41765,0.431835,0.445524,0.459662,0.473995,0.48615,0.496315,0.507843,0.521731,0.53728,0.553338,0.569953
