READ,n1,n2,n3,n4,n5,n6,n7,n8,n9,n10,n11,n12,n13,n14,n15,n16,n17,n18,n19,n20,n21,n22,n23,n24,n25,n26,n27,n28,n29,n30,n31,n32,n33,n34,n35,n36,n37,n38,n39,n40,n41,n42,n43,n44,n45,n46,n47,n48,n49,n50
1006,0.433266,0.428871,0.421731,0.415483,0.413824,0.414848,0.412146,0.405935,0.400106,0.39749,0.395022,0.384173,0.371008,0.360737,0.356007,0.352164,0.339814,0.324868,0.312323,0.303943,0.297094,0.286203,0.274102,0.262434,0.252188,0.245468,0.240967,0.237969,0.236518,0.236416,0.235309,0.232328,0.22971,0.228695,0.228468,0.225298,0.222739,0.222738,0.224453,0.225994,0.228519,0.23402,0.241606,0.248638,0.255408,0.262933,0.271476,0.278304,0.283032,0.288278
1007,0.445198,0.449802,0.456113,0.462563,0.46896,0.477853,0.489706,0.501718,0.509524,0.513556,0.514623,0.511565,0.503617,0.491816,0.479947,0.470702,0.46356,0.458276,0.454269,0.451442,0.449049,0.445521,0.44078,0.434694,0.428125,0.422401,0.416505,0.409358,0.400087,0.389198,0.377661,0.364541,0.352001,0.34126,0.33241,0.325016,0.31877,0.313529,0.309885,0.306179,0.303036,0.300881,0.300739,0.301519,0.302318,0.303107,0.303713,0.303336,0.301645,0.299113
1008,0.43077,0.433512,0.437447,0.444115,0.452258,0.461578,0.471566,0.482227,0.49155,0.495121,0.493693,0.490317,0.485696,0.478547,0.469372,0.459891,0.450801,0.441497,0.430845,0.420171,0.407477,0.392418,0.376576,0.362998,0.35416,0.34903,0.346462,0.345876,0.347391,0.351094,0.357036,0.364296,0.371445,0.376563,0.38004,0.383105,0.385652,0.387738,0.388705,0.389596,0.391151,0.393281,0.395832,0.398494,0.400563,0.402015,0.40252,0.40256,0.401831,0.39978
1101,0.483502,0.481143,0.477206,0.466571,0.453313,0.439921,0.424164,0.407866,0.39559,0.388101,0.381325,0.375348,0.370048,0.367847,0.36631,0.364747,0.362892,0.36184,0.36002,0.35626,0.347826,0.333753,0.319746,0.308098,0.299054,0.291324,0.282907,0.276763,0.275324,0.277895,0.282715,0.289258,0.298627,0.310035,0.31882,0.322362,0.323826,0.325131,0.326044,0.328029,0.332134,0.337663,0.343391,0.351007,0.355648,0.353091,0.350196,0.348672,0.347286,0.34488
1103,0.561553,0.574722,0.581739,0.587439,0.59185,0.594348,0.598421,0.601851,0.602621,0.601881,0.598459,0.597245,0.601051,0.609748,0.623207,0.640993,0.653164,0.659135,0.661859,0.66175,0.660966,0.654561,0.641807,0.627062,0.610982,0.596215,0.583809,0.573418,0.561111,0.546414,0.532792,0.519929,0.50892,0.500875,0.491621,0.48114,0.471103,0.459515,0.446834,0.435798,0.429596,0.427892,0.430203,0.435543,0.4336,0.434742,0.44112,0.44656,0.44889,0.443513
1104,0.437028,0.436828,0.441998,0.451432,0.459922,0.463359,0.464229,0.466085,0.469149,0.470634,0.469135,0.466132,0.464015,0.461641,0.457423,0.453254,0.450904,0.44902,0.445641,0.438295,0.430461,0.423786,0.416961,0.407723,0.395979,0.382889,0.368954,0.356349,0.34718,0.341996,0.337928,0.333173,0.327275,0.321423,0.316266,0.312424,0.309279,0.305528,0.301299,0.297768,0.295656,0.293614,0.291818,0.291769,0.293143,0.293807,0.292043,0.288618,0.285046,0.283174
1106,0.384581,0.348911,0.32339,0.310009,0.304967,0.301309,0.296464,0.294136,0.293759,0.294198,0.297208,0.300509,0.297067,0.289524,0.282101,0.274583,0.265753,0.252271,0.232761,0.215394,0.20759,0.210869,0.224808,0.245946,0.26803,0.287374,0.305436,0.322517,0.335174,0.344698,0.354867,0.365828,0.372167,0.370935,0.368962,0.366348,0.358334,0.342882,0.333979,0.333513,0.333876,0.328381,0.323817,0.324035,0.326753,0.326321,0.321819,0.314425,0.306159,0.298158
1201,0.497195,0.499295,0.501146,0.502587,0.503737,0.505913,0.50906,0.510782,0.508962,0.504517,0.497968,0.490548,0.484189,0.479108,0.473931,0.469627,0.466524,0.462133,0.454326,0.446094,0.437664,0.426748,0.413671,0.39913,0.383714,0.368379,0.354044,0.339445,0.325497,0.313028,0.302546,0.294198,0.289915,0.289867,0.294323,0.302097,0.308632,0.315812,0.324908,0.33575,0.345699,0.354095,0.362863,0.372406,0.38392,0.395979,0.408123,0.420569,0.432978,0.441733
1202,0.460656,0.456347,0.452723,0.451334,0.448017,0.442687,0.43975,0.440307,0.440771,0.438412,0.434352,0.43178,0.429567,0.425584,0.418189,0.410145,0.4025,0.394533,0.385835,0.379467,0.377049,0.376627,0.37548,0.373072,0.371775,0.371413,0.371102,0.36825,0.362685,0.356273,0.349457,0.342641,0.337461,0.335861,0.338396,0.343399,0.348254,0.35349,0.360648,0.368205,0.373046,0.371935,0.364541,0.352408,0.337849,0.320679,0.302314,0.285819,0.272376,0.262966
1300,0.419438,0.415051,0.410918,0.408231,0.405162,0.401335,0.395725,0.389546,0.381743,0.373202,0.365165,0.359226,0.354865,0.350186,0.344479,0.338702,0.333833,0.329482,0.326184,0.323817,0.323006,0.323723,0.326004,0.328919,0.3318,0.33566,0.338849,0.341313,0.342212,0.34168,0.339501,0.335313,0.330367,0.324327,0.318108,0.314144,0.314082,0.317662,0.324842,0.335052,0.34813,0.362483,0.375906,0.386682,0.395569,0.403748,0.410758,0.414505,0.415993,0.415499
